iteration,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
100,0.02762102916215857,0.9990740740740741,0.21324319951236248,0.9383333333333334,0.16842137759222703,0.955
200,0.01758907035821014,0.9998148148148148,0.20922286584973335,0.9383333333333334,0.1636030378148836,0.951
300,0.012600166847308476,0.9998148148148148,0.21020590960979463,0.935,0.1623371526160661,0.953
400,0.009565675113764074,0.9998148148148148,0.20906739942729474,0.9366666666666666,0.16241767082144232,0.952
500,0.007595428513983885,1.0,0.21134226247668267,0.9383333333333334,0.16422898431911187,0.953
600,0.0061546797941749295,1.0,0.2152582798153162,0.9366666666666666,0.1645030293832807,0.951
700,0.005124060460366309,0.9998148148148148,0.21717540808022023,0.935,0.16622215136885643,0.952
800,0.004254306931721253,1.0,0.2206066120415926,0.9383333333333334,0.16766681675525272,0.953
900,0.003650310366517968,1.0,0.21983043067157268,0.9366666666666666,0.16845971959478714,0.952
1000,0.0031431445994207427,1.0,0.22367595173418522,0.9366666666666666,0.17103102627922506,0.952
1100,0.0027182595474490273,1.0,0.22774752080440522,0.9366666666666666,0.17452612212475607,0.951
1200,0.0023600992041691725,1.0,0.22921069487929344,0.9383333333333334,0.1740792954669279,0.953
1300,0.0021051928620888956,1.0,0.230765138939023,0.94,0.1736132720594897,0.952
1400,0.0018500137330395067,1.0,0.23788479641079902,0.9383333333333334,0.1782029435476836,0.954
1500,0.0016414916201028973,1.0,0.23795878440141677,0.9383333333333334,0.1781450110104154,0.953
1600,0.0014758569498856862,1.0,0.23920502699911594,0.9383333333333334,0.1830462173503988,0.953
1700,0.0013284246023330423,1.0,0.24498925283551215,0.9366666666666666,0.18155761775286758,0.954
1800,0.0011779242502396097,1.0,0.24411415979266166,0.9383333333333334,0.18263348706943147,0.954
1900,0.0010799684012050017,1.0,0.24864598885178565,0.9383333333333334,0.18443077725960927,0.954
2000,0.0009759820011418519,1.0,0.24758879505097867,0.94,0.1855008774163092,0.953
2100,0.0008943839700401036,1.0,0.2505766049027443,0.9366666666666666,0.188156384646016,0.953
2200,0.0008128438579862834,1.0,0.2535451989620924,0.94,0.18773885772508733,0.954
2300,0.0007440778200462875,1.0,0.25336961150169374,0.94,0.1886287745745743,0.955
2400,0.000678126771041813,1.0,0.2553494293242693,0.94,0.19109290849198313,0.954
2500,0.0006224150762945,1.0,0.2576672796159983,0.9416666666666667,0.19148549185517957,0.954
2600,0.000571013156473378,1.0,0.2618465214967728,0.94,0.19382763511556036,0.953
2700,0.0005272956607061335,1.0,0.2635092977434397,0.9416666666666667,0.19436639459694133,0.954
2800,0.0004887763695377443,1.0,0.26325441636145114,0.9416666666666667,0.1940673151436974,0.955
2900,0.00045578730803552187,1.0,0.26520017720758915,0.94,0.1960873133776819,0.954
3000,0.0004164065674154295,1.0,0.2677342720329762,0.94,0.19901951380512295,0.954
3100,0.00038592997281941484,1.0,0.26975057534873487,0.94,0.20014765529948123,0.955
3200,0.0003585238514157633,1.0,0.27073255777359007,0.9416666666666667,0.20062781958019033,0.954
3300,0.0003346509348678713,1.0,0.27230723947286606,0.9416666666666667,0.20062096734695575,0.954
3400,0.00030910548666724936,1.0,0.27595759071409703,0.9416666666666667,0.20330966001047807,0.954
3500,0.00028767141039780757,1.0,0.275350197404623,0.9416666666666667,0.20464902809437582,0.955
3600,0.00026807699768040846,1.0,0.2776781711727381,0.9416666666666667,0.20521990494693026,0.954
3700,0.00025287285000861933,1.0,0.2819778699427843,0.94,0.20777571288978353,0.954
3800,0.00023406654177556953,1.0,0.27963883280754087,0.9416666666666667,0.2066778863834984,0.954
3900,0.00021881384737854306,1.0,0.282406122982502,0.9416666666666667,0.20902719381539261,0.955
4000,0.000205892409293382,1.0,0.28286504484713076,0.9416666666666667,0.20989281563636134,0.956
4100,0.00019176725476831457,1.0,0.2856171056628227,0.94,0.21137673353009365,0.955
4200,0.00018017289128490827,1.0,0.284585639461875,0.9416666666666667,0.21143781580030918,0.955
4300,0.0001685423085695624,1.0,0.2888015877455473,0.9416666666666667,0.21332666672327938,0.953
4400,0.000157392374159018,1.0,0.2890998650342226,0.9416666666666667,0.21194718624739087,0.955
4500,0.00014685538295048495,1.0,0.29189051277935507,0.9416666666666667,0.21464945189654827,0.954
4600,0.0001392533746386309,1.0,0.29105609096586704,0.9416666666666667,0.21519345713450627,0.955
4700,0.00013030002972098172,1.0,0.2924127146601677,0.9416666666666667,0.21755782591507716,0.955
4800,0.00012201120585410131,1.0,0.296279426664114,0.9416666666666667,0.21687558501520576,0.955
4900,0.0001152619381173281,1.0,0.29845045544207094,0.9383333333333334,0.220098442343228,0.954
5000,0.00010765105362224859,1.0,0.2991956524550915,0.9416666666666667,0.219559332684559,0.954
5100,0.00010143760923205667,1.0,0.29841856509447096,0.9416666666666667,0.22066099065191605,0.955
5200,9.532745449784367e-05,1.0,0.3007375691086054,0.9416666666666667,0.22070779278874397,0.955
5300,8.990443986678858e-05,1.0,0.3034878488630056,0.9383333333333334,0.22369637921014252,0.955
5400,8.423860441932144e-05,1.0,0.3027943253517151,0.9416666666666667,0.22385258632985985,0.955
5500,7.948827050212357e-05,1.0,0.3060426995158195,0.94,0.22530276898075552,0.954
5600,7.489979092901598e-05,1.0,0.3073200486600399,0.94,0.2259911554043784,0.956
5700,7.045421217400063e-05,1.0,0.3080776151269674,0.94,0.22610230963019765,0.956
5800,6.640875401192009e-05,1.0,0.3088949229568243,0.94,0.22950630930854993,0.955
5900,6.264536700150024e-05,1.0,0.3121096700429916,0.94,0.23003013738814523,0.954
6000,5.8950339199428626e-05,1.0,0.31257348880171776,0.94,0.22950383571579175,0.956
6100,5.57039200025934e-05,1.0,0.3127448458224535,0.94,0.23063776192857938,0.955
6200,5.2449443501245696e-05,1.0,0.3163658183068037,0.94,0.2323991285965723,0.955
6300,4.948255781427078e-05,1.0,0.31706105545163155,0.94,0.23260117212639136,0.955
6400,4.6631583326315095e-05,1.0,0.3173705115914345,0.94,0.2336840177064433,0.955
6500,4.4157980300951746e-05,1.0,0.3219352770596743,0.9383333333333334,0.23518141419352853,0.954
6600,4.1749737324102574e-05,1.0,0.31974130906164644,0.94,0.23446044161477508,0.956
6700,3.932624113076599e-05,1.0,0.3226611092686653,0.94,0.23647946678102016,0.955
6800,3.737505823866943e-05,1.0,0.325412505492568,0.94,0.2370105104192215,0.955
6900,3.493884985598722e-05,1.0,0.3244505308568478,0.94,0.2387118288589751,0.954
7000,3.321619202930985e-05,1.0,0.3277071613818407,0.9383333333333334,0.23871107174850562,0.955
7100,3.127945529841882e-05,1.0,0.3267480779439211,0.94,0.2404807220925303,0.955
7200,2.9501125300157583e-05,1.0,0.3274897150695324,0.94,0.24090402584303827,0.955
7300,2.7967247802330852e-05,1.0,0.3299314618110657,0.9383333333333334,0.24258084786946282,0.955
7400,2.6406732296082837e-05,1.0,0.3300164517015219,0.94,0.24238453482222908,0.955
7500,2.4983806300345655e-05,1.0,0.33258756399154665,0.94,0.24355162948589115,0.955
7600,2.36380561141737e-05,1.0,0.33217887096107007,0.94,0.243408154203173,0.955
7700,2.2382273285378082e-05,1.0,0.33401767797768117,0.94,0.2468318076366011,0.955
7800,2.1159019545141037e-05,1.0,0.3349462550133467,0.94,0.24556414580301328,0.955
7900,2.0007351668027696e-05,1.0,0.3369574543088675,0.94,0.24883477981476224,0.955
8000,1.8966668105551637e-05,1.0,0.34083353988826276,0.94,0.24837576433577957,0.954
8100,1.786240998424344e-05,1.0,0.3392793573439121,0.94,0.2490454322165426,0.955
8200,1.6906477306595964e-05,1.0,0.3405568804591894,0.94,0.25023429539492903,0.955
8300,1.6050744104884667e-05,1.0,0.34087490998208525,0.94,0.25039712334161296,0.955
8400,1.5151052593864733e-05,1.0,0.34487273581326006,0.94,0.2514402926625574,0.954
8500,1.4315160291921024e-05,1.0,0.3460221115499735,0.94,0.2533504346604733,0.954
8600,1.3537547091699606e-05,1.0,0.3472631312906742,0.94,0.25452352863024263,0.954
8700,1.2861767855712161e-05,1.0,0.34719852432608606,0.94,0.25479112653171315,0.954
8800,1.2174868450327065e-05,1.0,0.3484435025602579,0.94,0.25681324675679207,0.954
8900,1.155636814979112e-05,1.0,0.34864225834608076,0.94,0.25620845645008716,0.954
9000,1.0871888328741382e-05,1.0,0.35165486931800843,0.9383333333333334,0.2577768030631192,0.954
9100,1.0325645153999277e-05,1.0,0.3519474048167467,0.94,0.2573598149944754,0.954
9200,9.841641003226363e-06,1.0,0.35738376937806604,0.9383333333333334,0.26031276265926223,0.954
9300,9.278555446851694e-06,1.0,0.3554529346525669,0.9383333333333334,0.2613894088084207,0.954
9400,8.783698300855273e-06,1.0,0.3551806524395943,0.94,0.2604500522070071,0.954
9500,8.362106058888862e-06,1.0,0.3603881914168596,0.9383333333333334,0.2627677176805103,0.953
9600,7.867823539224143e-06,1.0,0.35779962353408334,0.94,0.2630772947278969,0.954
9700,7.427325595522739e-06,1.0,0.3604534089565277,0.9383333333333334,0.2646687191308421,0.954
9800,7.0425763712794125e-06,1.0,0.36093568317592145,0.9383333333333334,0.2645912328734994,0.954
9900,6.6558232422014245e-06,1.0,0.36258931569755076,0.9383333333333334,0.2662328707930796,0.954
10000,6.314536689286696e-06,1.0,0.3633097026497126,0.9383333333333334,0.2679671434795155,0.954
10100,5.992683019131719e-06,1.0,0.3667458899319172,0.9383333333333334,0.2680978273753734,0.954
10200,5.6941511805537935e-06,1.0,0.36697492077946664,0.9383333333333334,0.269029490156647,0.954
10300,5.3608605336800485e-06,1.0,0.36685816906392577,0.9383333333333334,0.2691377271514605,0.954
10400,5.087658569714727e-06,1.0,0.3695943210273981,0.9383333333333334,0.26988181937485933,0.954
10500,4.816522586123837e-06,1.0,0.37107187807559966,0.9383333333333334,0.27145288703853593,0.954
10600,4.56407583442342e-06,1.0,0.37208357490599153,0.9383333333333334,0.27257670785355215,0.954
10700,4.3314731202473114e-06,1.0,0.37285068072378635,0.9383333333333334,0.27316584816092954,0.954
10800,4.103397549847108e-06,1.0,0.3749638095498085,0.9383333333333334,0.27415823618717056,0.954
10900,3.88830068358301e-06,1.0,0.37445966228842736,0.9383333333333334,0.27515153203378706,0.954
11000,3.6950121183407545e-06,1.0,0.3775707919150591,0.9383333333333334,0.27562555637868014,0.954
11100,3.5121885111443085e-06,1.0,0.37653050012886524,0.9383333333333334,0.2776548055493656,0.954
11200,3.3218788953743366e-06,1.0,0.38068658001720906,0.9383333333333334,0.27905206300099106,0.954
11300,3.135502880190365e-06,1.0,0.3793423164635897,0.9383333333333334,0.27903104458442507,0.954
11400,2.982874437722987e-06,1.0,0.3789946403354406,0.9383333333333334,0.2787694625337334,0.954
11500,2.8221255661264877e-06,1.0,0.382380249351263,0.9383333333333334,0.28067969245945706,0.954
11600,2.6802052749038316e-06,1.0,0.38340542279183865,0.9383333333333334,0.2810321061269325,0.954
11700,2.5477753101515393e-06,1.0,0.3862684439867735,0.9383333333333334,0.28357748358565216,0.954
11800,2.410246386514498e-06,1.0,0.3855237741023302,0.9383333333333334,0.2813016876359196,0.954
11900,2.2807320577713753e-06,1.0,0.3864927988499403,0.9383333333333334,0.2840154285487883,0.954
12000,2.1724076248119673e-06,1.0,0.3900192346423864,0.9383333333333334,0.2859611289356561,0.954
12100,2.0629583161735354e-06,1.0,0.3918041165918112,0.9383333333333334,0.28664598175707984,0.954
12200,1.943620670393405e-06,1.0,0.3903890769928694,0.9383333333333334,0.2864495412830044,0.954
12300,1.8442596033057473e-06,1.0,0.39154879525303843,0.9383333333333334,0.2868045742678292,0.954
12400,1.7548761093166831e-06,1.0,0.3913935385644436,0.9383333333333334,0.28816881414283724,0.954
12500,1.6585174099266926e-06,1.0,0.39444894939661024,0.9383333333333334,0.2891710663543028,0.954
12600,1.5763298291757464e-06,1.0,0.3964176680892706,0.9383333333333334,0.29071727970286326,0.954
12700,1.4914285240289852e-06,1.0,0.3955698985606432,0.9383333333333334,0.29105003561605425,0.954
12800,1.415753802941961e-06,1.0,0.39729037284851076,0.9383333333333334,0.29259110494133306,0.954
12900,1.3524635625748892e-06,1.0,0.40202205069363117,0.9383333333333334,0.29383832046433406,0.954
13000,1.2797470494282e-06,1.0,0.3974570956081152,0.9383333333333334,0.29445236609043446,0.954
