iteration,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
100,1.0573202636506822,0.7674074074074074,1.0796913385391236,0.725,1.0233779269106247,0.78
200,0.5265274282958773,0.877962962962963,0.5650280714035034,0.84,0.5088872506338007,0.87
300,0.36665208554930157,0.907962962962963,0.41976783573627474,0.8733333333333333,0.3665664800826241,0.9
400,0.28955664336681364,0.9261111111111111,0.3633840471506119,0.8783333333333333,0.31011155335342183,0.907
500,0.2408790051109261,0.9353703703703704,0.3279498264193535,0.8883333333333333,0.2741772909374798,0.917
600,0.2058615345093939,0.9440740740740741,0.3101700097322464,0.8983333333333333,0.25502027921816883,0.922
700,0.17774635437462066,0.9546296296296296,0.2908585712313652,0.905,0.24073627021382837,0.92
800,0.16299553538362185,0.9566666666666667,0.2832162603735924,0.905,0.2308696959825123,0.929
900,0.13927000028391678,0.9633333333333334,0.26728385388851167,0.9083333333333333,0.2216765170588213,0.933
1000,0.12094262970818413,0.9685185185185186,0.2629629872739315,0.9133333333333333,0.20444534499855602,0.937
1100,0.10693867783993483,0.9733333333333334,0.25599910989403724,0.9166666666666666,0.20684752963921604,0.939
1200,0.08874833848741319,0.9803703703703703,0.24657108187675475,0.925,0.19619196083615809,0.936
1300,0.07718290837688578,0.9838888888888889,0.24295599535107612,0.9233333333333333,0.18674243241548538,0.941
1400,0.0674796368719803,0.987037037037037,0.2391505092382431,0.925,0.18883474740911932,0.942
1500,0.059434717334806916,0.9883333333333333,0.2405479997396469,0.9233333333333333,0.1811330601134721,0.944
1600,0.04749607287554277,0.9918518518518519,0.23182011619210244,0.9283333333333333,0.18177595822250142,0.945
1700,0.04044734917374121,0.9942592592592593,0.23140620663762093,0.9316666666666666,0.17591659133048618,0.944
1800,0.03536633057519793,0.9955555555555555,0.22709058746695518,0.9283333333333333,0.17060478053548755,0.947
1900,0.029623813373554082,0.9966666666666667,0.23061623349785804,0.93,0.1799753275425995,0.947
2000,0.025593214476895002,0.9972222222222222,0.2289786957204342,0.935,0.17600269703304067,0.945
2100,0.022226426005363464,0.9983333333333333,0.2343712866306305,0.935,0.18187232994857958,0.947
2200,0.018350360700343217,0.9983333333333333,0.22946663573384285,0.9316666666666666,0.1697519592502538,0.949
2300,0.01685072420578864,0.9983333333333333,0.23155110850930213,0.9333333333333333,0.17615960757522023,0.949
2400,0.015267923189741042,0.9985185185185185,0.2333214394748211,0.9316666666666666,0.17674935587188778,0.953
2500,0.012385587647764219,0.9985185185185185,0.22579438835382462,0.9383333333333334,0.1739050312077298,0.953
2600,0.011326255111230744,0.9988888888888889,0.23915015682578086,0.9333333333333333,0.174807669923586,0.951
2700,0.009537837681515763,0.9990740740740741,0.23385443314909934,0.9366666666666666,0.17414739947108662,0.952
2800,0.008313907732048795,0.9992592592592593,0.2355252280831337,0.935,0.1742534378872198,0.952
2900,0.007294479170296755,0.9994444444444445,0.23461694419384002,0.935,0.17879961672074654,0.951
3000,0.006497887832423051,0.9998148148148148,0.23801255710422992,0.9383333333333334,0.17279107452315443,0.956
3100,0.005673561369379362,0.9998148148148148,0.23781304731965064,0.9366666666666666,0.17694703708676732,0.953
3200,0.00551254997909483,0.9998148148148148,0.2384725220501423,0.935,0.1766860929920393,0.952
3300,0.004524235636927188,0.9998148148148148,0.2415887840092182,0.9366666666666666,0.17354858798139236,0.954
3400,0.004112715904031777,0.9998148148148148,0.23565252870321274,0.9366666666666666,0.17701045226524859,0.955
3500,0.0035794694312951633,0.9998148148148148,0.2413453482091427,0.9366666666666666,0.17872283936423414,0.953
3600,0.0032850811063932874,0.9998148148148148,0.24430349096655846,0.9366666666666666,0.1788793760625755,0.952
3700,0.002960070785290251,1.0,0.24706326015293598,0.935,0.17813819756402688,0.952
3800,0.002747360307775024,1.0,0.2481746718287468,0.9366666666666666,0.1824197872158359,0.952
3900,0.0024493232906226898,0.9998148148148148,0.24672282598912715,0.9366666666666666,0.1813914002302815,0.958
4000,0.0021997159980754887,1.0,0.24827740304172038,0.9366666666666666,0.18368495058487444,0.956
4100,0.001961576622367526,1.0,0.2501599483191967,0.9366666666666666,0.17958144032779863,0.954
4200,0.0018124311049986218,1.0,0.2510219980031252,0.9366666666666666,0.18201972609933684,0.957
4300,0.0016518292534682486,1.0,0.25150679647922514,0.9366666666666666,0.18629234569037662,0.954
4400,0.0015120295697771426,1.0,0.253246633708477,0.9366666666666666,0.18620964972411885,0.955
4500,0.0013956527671931931,1.0,0.2527358092367649,0.9366666666666666,0.18597389056402094,0.955
4600,0.0013396962561980925,1.0,0.25302729308605193,0.9366666666666666,0.18745082178536585,0.951
4700,0.001172152340425075,1.0,0.2589170798659325,0.9366666666666666,0.1862126829869607,0.958
4800,0.0010861660565650607,1.0,0.25773091055452824,0.9366666666666666,0.18793458184775183,0.958
4900,0.0010071622676655857,1.0,0.2591578308492899,0.9366666666666666,0.18807699597057173,0.957
5000,0.0009336386655276227,1.0,0.2571025613695383,0.9366666666666666,0.19047189306686907,0.958
5000,0.0009322687294722224,1.0,0.25719592720270157,0.9366666666666666,0.190430871265776,0.958
