iteration,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
100,2.3302946117189194,0.09222222222222222,2.3403034448623656,0.09666666666666666,2.3305272635291603,0.108
200,2.3088052034378053,0.09222222222222222,2.3174603939056397,0.09666666666666666,2.3094213008880615,0.108
300,2.29821736547682,0.09222222222222222,2.306609106063843,0.09666666666666666,2.299727061215569,0.108
400,2.2916035466723974,0.11037037037037037,2.2998296499252318,0.10166666666666667,2.2942745825823616,0.103
500,2.286789509985182,0.11240740740740741,2.2950781106948854,0.10166666666666667,2.2904274463653564,0.104
600,2.2823382986916436,0.11481481481481481,2.2908115863800047,0.10666666666666667,2.2867094348458683,0.107
700,2.276809247334798,0.11796296296296296,2.284949541091919,0.09333333333333334,2.2815988344304703,0.106
800,2.270730233192444,0.1638888888888889,2.2779815196990967,0.155,2.276182707618265,0.148
900,2.263705674807231,0.1764814814814815,2.2716891050338743,0.15,2.2699725908391617,0.161
1000,2.255777523252699,0.19,2.2636587381362916,0.17166666666666666,2.2626489751479206,0.172
1100,2.2468870083491006,0.19870370370370372,2.2546555280685423,0.17666666666666667,2.254159520654117,0.179
1200,2.2369175540076363,0.20981481481481482,2.2444125175476075,0.19166666666666668,2.2447111466351677,0.193
1300,2.226090669631958,0.23851851851851852,2.2332514047622682,0.22333333333333333,2.234528387294096,0.222
1400,2.2142231570349797,0.2659259259259259,2.2208087921142576,0.25833333333333336,2.2233352661132812,0.254
1500,2.201449063089159,0.2748148148148148,2.2085833072662355,0.26666666666666666,2.2106126757229076,0.262
1600,2.18810302151574,0.28074074074074074,2.194509720802307,0.2683333333333333,2.198096373501946,0.267
1700,2.174766270319621,0.2851851851851852,2.181243562698364,0.265,2.185530844856711,0.273
1800,2.160721222559611,0.29074074074074074,2.1664862871170043,0.27166666666666667,2.171833402970258,0.282
1900,2.146767406993442,0.29203703703703704,2.152654933929443,0.27166666666666667,2.1585140649010155,0.286
2000,2.1329072263505724,0.2937037037037037,2.138559627532959,0.275,2.144958538167617,0.287
2100,2.119174098968506,0.2940740740740741,2.1242913007736206,0.27166666666666667,2.132435490103329,0.285
2200,2.105753360854255,0.29685185185185187,2.111400842666626,0.2733333333333333,2.11959103976979,0.284
2300,2.09222598473231,0.29648148148148146,2.096918559074402,0.27666666666666667,2.106231591280769,0.285
2400,2.0793719874487984,0.297962962962963,2.0844871520996096,0.275,2.0941502697327556,0.286
2500,2.0671332783169216,0.29907407407407405,2.0721254110336305,0.2783333333333333,2.0826152563095093,0.287
2600,2.0549360672632853,0.2998148148148148,2.059697377681732,0.2833333333333333,2.0707394235274372,0.287
2700,2.0433484925164116,0.29962962962962963,2.0476871132850647,0.285,2.0596515431123623,0.287
